Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Satsuriku No Tenshi,97.4,Assistido,Não,,1x,,1,16,16,2018,AventuraHorrorPsicológicoThriller,V,1,22,16,352
Gakusen Toshi Asterisk,97.3,Assistido,Não,2ª Temporada?,1x,,2,24,12.12,2015,AçãoHarém?,V,1,22,24,528
Fullmetal Alchemist Brotherhood,97,Assistido,Não,-,1x,,5,64,12. 13. 13. 13. 13,2009,AçãoAventuraComédiaDramaFantasiaMagiaMilitarShounen,V,1,22,64,1408
Kuroko No Basket,97,Assistido,Não,-,1x,,3,75,25. 25. 25,,,,1,22,75,1650
Black Bullet,97,Assistido,,-,1x,,1,13,13,2014,Ação. Ficção Científica. Mistério. Seinen,V,1,22,13,286
Boku Dake Ga Inai Machi,97,Assistido,Não,-,1x,,1,12,12,,,,1,22,12,264
Noragami,97,Assistido,Não,-,1x,,1,12,12,,,,1,22,12,264
Big Order,97,Assistido,Não,2 Temporada?,1x,,1,10,10,2016,AçãoShounenSobrenaturalSuperpoder,V,1,22,10,220
Rakudai Kishi No Cavalry,97,Assistido,Não,2ª Temporada?,2x,,1,12,12,2015,Ação. Ecchi. Fantasia. Romance. School,V,2,22,24,528
Isekai Cheat Majutsushi,97,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Maid Dragon,97,Assistido,Não,2ª Temporada?,1x,,1,13,13,2017,Comédia. Fantasia. Slice of Life,V,1,22,13,286
Masou Gakuen Hxh,97,Assistido,Não,2ª Temporada?,1x,,1,12,12,2016,Ação. Comédia. Ecchi. Fantasia. Ficção Científica. Harém. ?Romance. Vida Escolar,V,1,22,12,264
Is- Infinite Stratos,97,Assistido,Não,3ª Temporada?,1x,,2,24,12.12,2011-2013,AçãoComédiaEcchiFicção CientíficaHarém?Mecha,V,1,22,24,528
Fairy Tail,97,Assistido,Não,Quest dos 100 anos? (Última Temporada),1x,,3,328,,,,,1,22,328,7216
Freezing,97,Assistido,Não,,1x,8,2,24,12.12,2011-2013,AçãoDramaEcchiFicção CientíficaHarém?MilitarRomance,V,1,22,32,704
Busou Shoujo Machiavellianism,97,Assistido,Não,,1x,,1,12,12,2017,AçãoComédiaSchoolShounen,V,1,22,12,264
Kaze No Stigma,97,Assistido,Não,,1x,,1,24,24,2007,AçãoFantasiaMagiaRomanceShounenSobrenatura,V,1,22,24,528
Sacred Seven,97,Assistido,Não,,1x,,1,12,12,2011,AçãoFicção CientíficaSchoolSuperpoder,V,1,22,12,264
Hidan No Aria,97,Assistido,,,,,1,12,12,2011,AçãoComédiaRomanceSchool,V,1,22,12,264
Kono Subarashii Sekai Ni Shukufuku Wo!,97,Assistido,,,,6,2,20,10-10,2016-2017,AventuraComédiaFantasiaIsekaiMagiaSobrenatural,V,1,22,26,572
Isekai Wa Smartphone To Tomo Ni,97,Assistido,,,,,1,12,12,2017,AçãoComédiaFantasiaHarém?MagiaRomance,V,1,22,12,264
Acchi Kocchi,97,Assistido,,,,,1,12,12,2012,Comédia RomânticaSchoolSlice Of Life,V,1,22,12,264
Aho Girl,97,Assistido,,,,,1,12,12,2017,ComédiaRomanceSchoolShounenSlice Of Life,V,1,11.5,12,138
Zero Kara Hajimeru Maho No Sho (Grimoire Of Zero),96.5,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Guilty Crown,96.5,Assistido,Não,,1x,,1,22,22,2011,AçãoAventuraDramaFicção CientíficaMechaRomanceSuperpoder,V,1,22,22,484
Jojo No Kimyou Na Bouken 2012,96,Assistido,Não,-,1x,,1,26,26,2012,AçãoComédiaShounenSobrenaturalVampiros,V,1,22,26,572
Kotoura-San,96,Assistido,Não,-,1x,,1,12,12,,,,1,22,12,264
Choujin Koukousei-Tachi Wa Isekai Demo Yoyuu De Ikinuku You Desu!,96,Assistido,Não,2ª Temporada?,1x,,1,12,12,2019,Fantasia. Isekai,V,1,22,12,264
Ichiban Ushiro No Daimaou,96,Assistido,Não,2ª Temporada?,1x,,1,12,12,,,,1,22,12,264
Masamune-Kun No Revenge,96,Assistido,,2ª Temporada?,1x,,1,12,12,2017,ComédiaHarém?RomanceShounenVida Escolar,V,1,22,12,264
Sakurasou No Pet Na Kanojo,96,Assistido,,2ª Temporada?,1x,,1,24,24,2012,Comédia. Drama. Romance. School. Slice Of Life,V,1,22,24,528
